,JAN,FEB,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
Sport/League,,,,,,,,,,,,
NFL,"1/11-1/13: Wildcard Weekend
1/18-1/19: Divisional Round
1/26: Conference Championships","2/2: Pro Bowl Games
2/9: Super Bowl LIX",NFL Combine,4/24-4/27: NFL Draft,quota is still around 100,quota is still around 100,Training Camp Begins - quota is still around 100,Preseason Games - quota starts to increase more,"9/4: Kick-Off Game
9/7: Opening Sunday

Weeks 1-4",Weeks 5-8,Weeks 9-12,Weeks 13-17
NCAAF,~1/20: National Championship Game,National Signing Day,,,,,,"8/23: Week 0
8/30: Week 1",Weeks 2-5,Weeks 6-9,Weeks 10-14,"~12/14: Bowl Season Begins
12/14: Heisman Ceremony
~12/20: College Football Playoff Begins"
NBA,Regular Season Ongoing,"2/14-2/16: All Star Weekend

Regular Season Ongoing",Regular Season Ongoing,"4/15-4/18: Play-In Tournament
4/19: Playoffs Begin",Playoffs Ongoing,"NBA FINALS
~6/25: NBA Draft",Summer League (low quota),(low quota),Preseason Games (low quota),10/22: Regular Season Begins,Regular Season Ongoing,"12/10-12-17: Emirates NBA Cup
12/25: Christmas Day Games"
NCAAB,Regular Season Ongoing,Regular Season Ongoing,"3/16: Selection Sunday
3/20: March Madness Begins
3/27-3/28: Sweet Sixteen
3/29-3/30: Elite Eight","4/5: Final Four
4/7: National Championship",,,,,,,~11/4: Regular Season Starts,Regular Season Ongoing
MLB,,Spring Training Begins,"3/18: Tokyo Series 
3/27: Opening Day",Regular Season Ongoing,Regular Season Ongoing,Regular Season Ongoing,"7/15: All-Star Game

Regular Season Ongoing",Regular Season Ongoing,9/28: Regular Season Ends,Playoffs Begin,,
NHL,Regular Season Ongoing,"2/10-2/21: 4 Nations Face-Off

Regular Season Ongoing",Regular Season Ongoing,"~4/17: Regular Season Ends
4/19: Stanley Cup Playoffs Begin",Playoffs Ongoing,Stanley Cup Finals,,,Preseason Games,~10/8: Opening Night,Regular Season Ongoing,Regular Season Ongoing
GOLF,1/5: The Sentry,"2/2: Pebble Beach Pro-AM
2/9: WM Phoenix Open
2/16: Genesis Invitational ",3/16: The Players Championship,4/13: The Masters Tournament ,5/18: PGA Championship,6/15: US Open,7/20: The Open Championship,8/10-8/24: FedEx Cup,9/28: The Ryder Cup,,,
SOCCER,,,,,"5/6-5/7: Champions League Semis
5/8: Europa League Semis
5/25: EPL finishes
5/21: Europa League Final
5/31: Champions League Final",,,,,,,
TENNIS,1/13-1/20: Austrailian Open,,,,5/25-6/8: French Open,6/30-7/7: Wimbledon ,6/30-7/7: Wimbledon ,8/25-9/7: US Open,8/25-9/7: US Open,,,
MOTORSPORT,,2/16: Daytona 500 (Nascar),,,"5/25: Indy 500 (F1)
5/25: Manaco Grand Prix (F1)",,7/27: Brickyard 400,,,,,
HORSE,1/25: Pegasus Cup,,,,"5/3: Kentucky Derby

5/17: Preakness Stakes",6/6: Belmont Stakes,,,,,11/1: Breeders Cup,
BOXING,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
MMA/UFC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"UFC 320 - Oct 4
UFC 321 - Oct 25",TBD,TBD
